#TYPE System.Management.Automation.PSCustomObject
"Name","Size_KB"
"Analysis Charge of the light brigate.afphoto","  48.21"
"Analysis Charge of the light brigate.png"," 484.46"
"Checking Out Me History.docx","  14.31"
"Comparing Poems.docx","  12.19"
"Context.docx","  13.27"
"Exposure.docx","  12.98"
"My Last Duchess.docx","  11.85"
"Source_A_Question_1__.docx","  13.15"
"Storm on the island context.docx","  12.48"
"The Charge of The Light Brigade.docx","  12.93"
"Tissue.jpg","1,041.55"
"Tissuee.afphoto"," 305.65"
